                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 0.7026,                 1.2492,                 1.0595,                0.96177,                0.95994,                0.99178,                0.76538,                0.90519,                0.51457,                 1.2032,               0.002542,               0.002542,               0.002542
                    116,                0.71166,                 1.2598,                 1.0697,                0.94049,                0.97626,                0.99049,                0.76421,                0.90641,                0.51252,                 1.2036,               0.002476,               0.002476,               0.002476
                    117,                0.69835,                 1.2349,                 1.0613,                0.94454,                0.97463,                0.99392,                0.76663,                0.90669,                0.51303,                 1.2044,                0.00241,                0.00241,                0.00241
                    118,                 0.7051,                 1.2639,                 1.0614,                0.95597,                0.95584,                0.99135,                0.76299,                0.90539,                0.51219,                 1.2037,               0.002344,               0.002344,               0.002344
                    119,                0.69996,                 1.2396,                 1.0584,                0.95759,                0.95657,                0.99135,                0.76343,                0.90636,                0.51135,                 1.2047,               0.002278,               0.002278,               0.002278
                    120,                0.68638,                 1.2384,                 1.0531,                0.95398,                 0.9748,                0.99415,                0.76537,                0.90548,                0.50988,                 1.2042,               0.002212,               0.002212,               0.002212
                    121,                0.68597,                 1.2275,                 1.0566,                0.95631,                0.97636,                0.99415,                 0.7673,                0.90536,                 0.5078,                  1.205,               0.002146,               0.002146,               0.002146
                    122,                0.68648,                 1.2068,                 1.0532,                 0.9551,                0.97442,                0.99392,                0.76776,                0.90545,                0.50667,                  1.205,                0.00208,                0.00208,                0.00208
                    123,                0.68168,                 1.1984,                 1.0488,                0.95476,                0.97723,                0.99415,                0.76727,                 0.9042,                0.50352,                  1.204,               0.002014,               0.002014,               0.002014
                    124,                0.68147,                 1.1931,                 1.0485,                0.95643,                0.97635,                0.99415,                0.76699,                0.90305,                0.50055,                 1.2026,               0.001948,               0.001948,               0.001948
                    125,                0.68497,                 1.2104,                 1.0547,                0.95534,                0.97608,                0.99415,                0.76784,                0.90295,                0.49764,                 1.2026,               0.001882,               0.001882,               0.001882
                    126,                0.67661,                 1.2056,                 1.0498,                0.95649,                0.97595,                0.99415,                0.76854,                0.90297,                0.49804,                 1.2031,               0.001816,               0.001816,               0.001816
